"fecha";"Run Fondo";"serie";"periodo";"rentabilidades_acumuladas"
2023-02-24;"8640";APV;YTD;-0.012297277737865486
2023-02-24;"8740";APV;"1M";-0.012747582527721568
2023-02-24;"8740";APV;"3M";-0.04412540128386222
2023-02-24;"8740";APV;"6M";-0.062096756995435154
2023-02-24;"8740";APV;"1Y";0.009358751264953558
2023-02-24;"8740";APV;YTD;-0.001831684705654979
2023-02-24;"8785";APV;"1M";-0.020710097558455653
2023-02-24;"8785";APV;"3M";-0.07229794820691404
2023-02-24;"8785";APV;"6M";-0.10112372569103467
2023-02-24;"8785";APV;"1Y";-0.042506789000177014
2023-02-24;"8785";APV;YTD;-0.015460223445960652
2023-02-24;"8844";APV;"1M";-0.01628555075556737
2023-02-24;"8844";APV;"3M";-0.062161988876497154
2023-02-24;"8844";APV;"6M";-0.07224105564732308
2023-02-24;"8844";APV;"1Y";-0.013695885715277245
2023-02-24;"8844";APV;YTD;-0.012986377478664157
2023-02-24;"8908";APV;"1M";-0.0020709180148381634
2023-02-24;"8908";APV;"3M";-0.06897752654939815
2023-02-24;"8908";APV;"6M";-0.07208294082434663
2023-02-24;"8908";APV;"1Y";-0.0031948514717909937
2023-02-24;"8908";APV;YTD;-0.0052341294139439665
2023-02-24;"8993";APV;"1M";-0.02197186012132335
2023-02-24;"8993";APV;"3M";-0.09730694735728673
2023-02-24;"8993";APV;"6M";-0.1237474208925432
2023-02-24;"8993";APV;"1Y";-0.08008409595697852
2023-02-24;"8993";APV;YTD;-0.02971594694446189
2023-02-24;"9060";APV;"1M";-0.009309564896245792
2023-02-24;"9060";APV;"3M";-0.06968947121774893
2023-02-24;"9060";APV;"6M";-0.07753350614066912
2023-02-24;"9060";APV;"1Y";0.005481063436465261
2023-02-24;"9060";APV;YTD;-0.007049870201028985
2023-02-24;"9193";APV;"1M";-0.013743132482876397
2023-02-24;"9193";APV;"3M";-0.04609992521974404
2023-02-24;"9193";APV;"6M";-0.05951363716728397
2023-02-24;"9193";APV;"1Y";-0.019419118694019688
2023-02-24;"9193";APV;YTD;-0.0009840723614108
2023-02-24;"9428";APV;"1M";-0.01407447189231359
2023-02-24;"9428";APV;"3M";-0.04858657338687766
2023-02-24;"9428";APV;"6M";-0.06341192407810725
2023-02-24;"9428";APV;"1Y";-0.025644995946692006
2023-02-24;"9428";APV;YTD;-0.0020325181991251995
2023-02-24;"9511";APV;"1M";0.005349278905705246
2023-02-24;"9511";APV;"3M";0.007852921713370487
2023-02-24;"9511";APV;"6M";0.030122279482862835
2023-02-24;"9511";APV;"1Y";0.2023472930048389
2023-02-24;"9511";APV;YTD;0.006219953230822917
2023-02-24;"9648";APV;"1M";-0.004992958261122449
2023-02-24;"9648";APV;"3M";-0.06768535709181955
2023-02-24;"9648";APV;"6M";-0.07442793628567401
2023-02-24;"9648";APV;"1Y";-0.01279518084146769
2023-02-24;"9648";APV;YTD;-0.008377475272854928
2023-02-24;"9873";APV;"1M";-0.014493762646728414
2023-02-24;"9873";APV;"3M";-0.060419877416023726
2023-02-24;"9873";APV;"6M";-0.08795255126841006
2023-02-24;"9873";APV;"1Y";-0.04326410046015028
2023-02-24;"9873";APV;YTD;-0.007369596901425912
2023-02-25;"8577";APV;"1M";-0.017304700763689396
2023-02-25;"8577";APV;"3M";-0.06325412062612379
2023-02-25;"8577";APV;"6M";-0.07243235424859917
2023-02-25;"8577";APV;"1Y";-0.047966288220901654
2023-02-25;"8577";APV;YTD;-0.015877089835994007
2023-02-25;"8640";APV;"1M";-0.02443436316893799
2023-02-25;"8640";APV;"3M";-0.05544300308173933
2023-02-25;"8640";APV;"6M";-0.08841716836610702
2023-02-25;"8640";APV;"1Y";-0.05723075366488184
2023-02-25;"8640";APV;YTD;-0.012305726387713545
2023-02-25;"8740";APV;"1M";-0.01175580121476516
2023-02-25;"8740";APV;"3M";-0.045870680649283124
2023-02-25;"8740";APV;"6M";-0.06860642466874622
2023-02-25;"8740";APV;"1Y";-0.010353746800727426
2023-02-25;"8740";APV;YTD;-0.0017954869279412922
2023-02-25;"8785";APV;"1M";-0.020932186138720943
2023-02-25;"8785";APV;"3M";-0.07222227693662009
2023-02-25;"8785";APV;"6M";-0.10674109620181171
2023-02-25;"8785";APV;"1Y";-0.054043471743207006
2023-02-25;"8785";APV;YTD;-0.015457158817905658
2023-02-25;"8844";APV;"1M";-0.01568002339598351
2023-02-25;"8844";APV;"3M";-0.06399054125122661
2023-02-25;"8844";APV;"6M";-0.07505374040801782
2023-02-25;"8844";APV;"1Y";-0.023494262523932496
2023-02-25;"8844";APV;YTD;-0.012948145891050977
2023-02-25;"8908";APV;"1M";0.0012315701143943425
2023-02-25;"8908";APV;"3M";-0.07114834532739578
2023-02-25;"8908";APV;"6M";-0.07366567473207408
2023-02-25;"8908";APV;"1Y";-0.02083805639300751
2023-02-25;"8908";APV;YTD;-0.005202297175978865
2023-02-25;"8993";APV;"1M";-0.02121367761911941
2023-02-25;"8993";APV;"3M";-0.09881608297390143
2023-02-25;"8993";APV;"6M";-0.12729311922711628
2023-02-25;"8993";APV;"1Y";-0.08537880855561819
2023-02-25;"8993";APV;YTD;-0.02976203070007255
2023-02-25;"9060";APV;"1M";-0.005222700520793655
2023-02-25;"9060";APV;"3M";-0.07057895834893912
2023-02-25;"9060";APV;"6M";-0.07889030866529834
2023-02-25;"9060";APV;"1Y";-0.013434562393739413
2023-02-25;"9060";APV;YTD;-0.007033393639934937
2023-02-25;"9193";APV;"1M";-0.013987353967256144
2023-02-25;"9193";APV;"3M";-0.048619864537729596
